,address,age,apartments,assessmentpass,attic,basement,buildingassessedvalue,buildingassessedvaluepreviousyear,buildingsqft,centralair,city,classification,combinedassessedvalue,combinedassessedvaluepreviousyear,description,exteriorconstruction,fireplaces,fullbaths,garage,halfbaths,landassessedvalue,landassessedvaluepreviousyear,landsqft,marketvalue,marketvaluepreviousyear,neighborhood,pin,residencetype,taxcode,township,use,year
0,1218 N LOMBARD AVE ,93,0,Board Certified,Partial and Living Area,Full and Rec Room,"28,489","33,650","1,862",No,OAK PARK,204,"33,263","38,424","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,0,"4,774","4,774","4,658","$332,630","$384,240",30,16-05-103-013-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1216 N LOMBARD AVE ,93,0,Board Certified,None,None,"24,680","24,680","2,508",Yes,OAK PARK,206,"29,454","29,454","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",N/A,1,3,1,1,"4,774","4,774","4,658","$294,540","$294,540",30,16-05-103-014-0000,N/A,27001,Oak Park,N/A,2018
0,1212 N LOMBARD AVE ,94,0,Board Certified,Full and Living Area,Full and Unfinished,"33,658","33,658","1,893",No,OAK PARK,204,"38,386","38,386","One story residence, any age, 1,801 square feet and over",Masonry,0,1,0,1,"4,728","4,728","4,613","$383,860","$383,860",30,16-05-103-015-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1231 HAYES AVE ,92,0,Board Certified,None,Full and Unfinished,"30,012","42,707","1,022",Yes,OAK PARK,203,"34,653","47,348","One story residence, any age, 1,000 to 1,800 square feet",Frame,0,1,0,1,"4,641","4,641","4,528","$346,530","$473,480",30,16-05-103-016-0000,One Story,27001,Oak Park,Single Family,2018
0,1229 HAYES AVE ,94,0,Board Certified,Full and Living Area,Full and Unfinished,"32,891","33,726","2,183",Yes,OAK PARK,204,"37,665","38,500","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,0,"4,774","4,774","4,658","$376,650","$385,000",30,16-05-103-017-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1227 HAYES AVE ,94,0,Board Certified,Partial and Living Area,Full and Unfinished,"28,420","28,420","1,396",Yes,OAK PARK,203,"33,194","33,194","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"4,774","4,774","4,658","$331,940","$331,940",30,16-05-103-018-0000,One Story,27001,Oak Park,Single Family,2018
0,1225 HAYES AVE ,94,0,Board Certified,Partial and Living Area,Full and Unfinished,"25,249","29,772","1,647",No,OAK PARK,203,"30,023","34,546","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,2,0,0,"4,774","4,774","4,658","$300,230","$345,460",30,16-05-103-019-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1221 HAYES AVE ,94,0,Board Certified,Partial and Living Area,Full and Unfinished,"31,039","31,039","2,009",No,OAK PARK,204,"35,813","35,813","One story residence, any age, 1,801 square feet and over",Masonry,0,1,0,1,"4,774","4,774","4,658","$358,130","$358,130",30,16-05-103-020-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1219 HAYES AVE ,94,0,Board Certified,Full and Living Area,Full and Unfinished,"36,846","36,846","2,002",Yes,OAK PARK,204,"41,620","41,620","One story residence, any age, 1,801 square feet and over",Masonry,0,2,0,0,"4,774","4,774","4,658","$416,200","$416,200",30,16-05-103-021-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1215 HAYES AVE ,94,0,Board Certified,Partial and Living Area,Full and Unfinished,"26,213","30,209","1,672",No,OAK PARK,203,"30,987","34,983","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,1,"4,774","4,774","4,658","$309,870","$349,830",30,16-05-103-022-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1213 HAYES AVE ,94,0,Board Certified,None,Full and Unfinished,"26,178","26,178","1,244",No,OAK PARK,205,"30,906","30,906","Two or more story residence, over 62 years, up to 2,200 sq.ft.",Frame,0,1,0,1,"4,728","4,728","4,613","$309,060","$309,060",30,16-05-103-023-0000,Two Story,27001,Oak Park,Single Family,2018
0,152 LE MOYNE PKY ,93,0,Board Certified,Full and Unfinished,Full and Rec Room,"30,520","30,520","2,210",No,OAK PARK,206,"35,544","35,544","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Masonry,1,1,1,1,"5,024","5,024","4,902","$355,440","$355,440",30,16-05-103-024-0000,Two Story,27001,Oak Park,Single Family,2018
0,150 LE MOYNE PKY ,93,0,Board Certified,Partial and Living Area,Full and Rec Room,"33,039","33,039","1,299",Yes,OAK PARK,203,"37,523","37,523","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,2,0,0,"4,484","4,484","4,375","$375,230","$375,230",30,16-05-103-025-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,146 LE MOYNE PKY ,93,0,Board Certified,Full and Unfinished,Full and Unfinished,"24,305","24,305","1,425",Yes,OAK PARK,203,"28,789","28,789","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"4,484","4,484","4,375","$287,890","$287,890",30,16-05-103-026-0000,One Story,27001,Oak Park,Single Family,2018
0,140 LE MOYNE PKY ,94,0,Board Certified,Full and Unfinished,Full and Unfinished,"24,119","24,119","1,197",No,OAK PARK,203,"28,603","28,603","One story residence, any age, 1,000 to 1,800 square feet",Frame/Masonry,0,1,0,0,"4,484","4,484","4,375","$286,030","$286,030",30,16-05-103-028-0000,One Story,27001,Oak Park,Single Family,2018
0,138 LE MOYNE PKY ,94,0,Board Certified,None,None,"24,645","36,674","1,185",Yes,OAK PARK,203,"29,129","41,158","One story residence, any age, 1,000 to 1,800 square feet",N/A,0,1,0,1,"4,484","4,484","4,375","$291,290","$411,580",30,16-05-103-029-0000,N/A,27001,Oak Park,N/A,2018
0,134 LE MOYNE PKY ,93,0,Board Certified,Full and Living Area,Full and Unfinished,"27,630","30,212","1,831",No,OAK PARK,204,"32,114","34,696","One story residence, any age, 1,801 square feet and over",Frame/Masonry,0,2,0,0,"4,484","4,484","4,375","$321,140","$346,960",30,16-05-103-030-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,130 LE MOYNE PKY ,88,0,Board Certified,None,Full and Rec Room,"48,405","48,405","2,285",Yes,OAK PARK,206,"53,530","53,530","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Masonry,2,2,2,0,"5,125","5,125","5,000","$535,300","$535,300",30,16-05-103-031-0000,Two Story,27001,Oak Park,Single Family,2018
0,6129 NORTH AVE ,**,,Board Certified,,,"130,560","167,552",**,,OAK PARK,523,"193,664","230,656",**,,,,,,"63,104","63,104","17,408",N/A,N/A,30,16-05-103-032-0000,,27001,Oak Park,,2018
0,6111 NORTH AVE ,**,,Board Certified,,,"24,194","23,672",**,,OAK PARK,517,"35,522","35,000",**,,,,,,"11,328","11,328","3,125",N/A,N/A,30,16-05-104-005-0000,,27001,Oak Park,,2018
0,6109 NORTH AVE ,**,,Board Certified,,,"24,194","23,672",**,,OAK PARK,517,"35,522","35,000",**,,,,,,"11,328","11,328","3,125",N/A,N/A,30,16-05-104-006-0000,,27001,Oak Park,,2018
0,6101 NORTH AVE ,**,,Board Certified,,,"114,790","94,920",**,,OAK PARK,318,"135,500","115,630",**,,,,,,"20,710","20,710","14,283",N/A,N/A,30,16-05-104-007-0000,,27001,Oak Park,,2018
0,1230 HAYES AVE ,95,0,Board Certified,Partial and Living Area,Full and Rec Room,"24,480","24,480","1,530",Yes,OAK PARK,203,"29,121","29,121","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,1,"4,641","4,641","4,528","$291,210","$291,210",30,16-05-104-008-0000,1.5 to 1.9 Stories,27001,Oak Park,Single Family,2018
0,1228 HAYES AVE ,94,0,Board Certified,None,Full and Unfinished,"19,028","19,028","1,010",No,OAK PARK,203,"23,802","23,802","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"4,774","4,774","4,658","$238,020","$238,020",30,16-05-104-009-0000,One Story,27001,Oak Park,Single Family,2018
0,1226 HAYES AVE ,94,0,Board Certified,None,Full and Unfinished,"21,361","21,361","1,010",No,OAK PARK,203,"26,135","26,135","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"4,774","4,774","4,658","$261,350","$261,350",30,16-05-104-010-0000,One Story,27001,Oak Park,Single Family,2018
0,1222 HAYES AVE ,94,0,Board Certified,Partial and Unfinished,Full and Rec Room,"22,972","22,972","1,010",No,OAK PARK,203,"27,746","27,746","One story residence, any age, 1,000 to 1,800 square feet",Masonry,1,1,1,0,"4,774","4,774","4,658","$277,460","$277,460",30,16-05-104-011-0000,One Story,27001,Oak Park,Single Family,2018
0,1220 HAYES AVE ,94,0,Board Certified,None,Full and Unfinished,"23,727","23,727","1,053",No,OAK PARK,203,"28,501","28,501","One story residence, any age, 1,000 to 1,800 square feet",Masonry,0,1,0,0,"4,774","4,774","4,658","$285,010","$285,010",30,16-05-104-012-0000,One Story,27001,Oak Park,Single Family,2018
0,1218 HAYES AVE ,94,0,Board Certified,Partial and Living Area,Full and Rec Room,"25,760","25,760","1,010",No,OAK PARK,203,"30,534","30,534","One story residence, any age, 1,000 to 1,800 square feet",Frame/Masonry,0,1,0,0,"4,774","4,774","4,658","$305,340","$305,340",30,16-05-104-013-0000,One Story,27001,Oak Park,Single Family,2018
0,1214 HAYES AVE ,94,0,Board Certified,Full and Unfinished,Full and Unfinished,"36,926","36,926","2,344",Yes,OAK PARK,206,"41,700","41,700","Two or more story residence, over 62 years, 2,201 to 4,999 sq.ft.",Frame/Masonry,0,2,0,0,"4,774","4,774","4,658","$417,000","$417,000",30,16-05-104-014-0000,Two Story,27001,Oak Park,Single Family,2018
