,pin,address,city,township,classification,landsqft,neighborhood,taxcode,landassessedvalue,buildingassessedvalue,combinedassessedvalue,landassessedvaluepreviousyear,buildingassessedvaluepreviousyear,combinedassessedvaluepreviousyear,marketvalue,marketvaluepreviousyear,description,residencetype,use,exteriorconstruction,fullbaths,halfbaths,basement,attic,centralair,fireplaces,garage,age,buildingsqft,assessmentpass,exemption1year,exemption1owner,exemption1senior,exemption1seniorfreeze,exemption2year,exemption2owner,exemption2senior,exemption2seniorfreeze,exemption3year,exemption3owner,exemption3senior,exemption3seniorfreeze,exemption4year,exemption4owner,exemption4senior,exemption4seniorfreeze
0,16-07-322-043-1001,429 1  WISCONSIN AVE,OAK PARK,Oak Park,299,"8,160",40,27001,"$1,291","$17,014","$18,305","$1,290","$17,014","$18,304","$183,050","$183,040",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-043-1002,431 1  WISCONSIN AVE,OAK PARK,Oak Park,299,"8,160",40,27001,"$1,291","$17,014","$18,305","$1,290","$17,014","$18,304","$183,050","$183,040",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",Yes | $253.72,2017,"Yes | $1,219.10",Yes | $975.28,Yes | $243.82
0,16-07-322-043-1003,429 2  WISCONSIN AVE,OAK PARK,Oak Park,299,"8,160",40,27001,"$1,291","$17,014","$18,305","$1,290","$17,014","$18,304","$183,050","$183,040",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,2016,N/A,N/A,N/A
0,16-07-322-043-1004,431 2  WISCONSIN AVE,OAK PARK,Oak Park,299,"8,160",40,27001,"$1,291","$17,014","$18,305","$1,290","$17,014","$18,304","$183,050","$183,040",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-043-1005,429 3  WISCONSIN AVE,OAK PARK,Oak Park,299,"8,160",40,27001,"$1,292","$17,034","$18,326","$1,292","$17,034","$18,326","$183,260","$183,260",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,2016,"Yes | $1,005.06",N/A,N/A
0,16-07-322-043-1006,431 3  WISCONSIN AVE,OAK PARK,Oak Park,299,"8,160",40,27001,"$1,292","$17,034","$18,326","$1,292","$17,034","$18,326","$183,260","$183,260",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,99,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,,,,
0,16-07-322-044-0000,413  WISCONSIN AVE,OAK PARK,Oak Park,210,"1,617",40,27001,"$2,587","$29,445","$32,032","$2,587","$29,445","$32,032","$320,320","$320,320","Old style row house, over 62 years",Two Story,Single Family,Frame,2,0,Full and Unfinished,Full and Living Area,Yes,0,None,132,"1,618",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-045-0000,413 B  WISCONSIN AVE,OAK PARK,Oak Park,210,"1,194",40,27001,"$1,910","$33,815","$35,725","$1,910","$33,815","$35,725","$357,250","$357,250","Old style row house, over 62 years",Two Story,Single Family,Frame,2,1,Full and Unfinished,Full and Living Area,Yes,0,None,132,"1,818",Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",N/A,2017,"Yes | $1,219.10",Yes | $975.28,N/A
0,16-07-322-046-0000,413  WISCONSIN AVE,OAK PARK,Oak Park,100,218,40,27001,,,,$1,,$1,$0,$10,Vacant land,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-048-0000,413 D  WISCONSIN AVE,OAK PARK,Oak Park,295,"1,963",40,27001,"$3,141","$33,127","$36,268","$3,140","$33,127","$36,267","$362,680","$362,670",Individually owned row houses or townhouses up to 62 years,Two Story,Single Family,Frame,2,1,Partial and Rec Room,None,Yes,1,2 car attached,23,"1,740",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,N/A,N/A,N/A,2017,"Yes | $1,219.10",Yes | $975.28,N/A
0,16-07-322-049-0000,413 E  WISCONSIN AVE,OAK PARK,Oak Park,295,"1,575",40,27001,"$2,520","$31,457","$33,977","$2,520","$31,457","$33,977","$339,770","$339,770",Individually owned row houses or townhouses up to 62 years,Two Story,Single Family,Frame,2,1,Full and Unfinished,Full and Living Area,Yes,1,2 car attached,23,"1,614",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-050-0000,413 C  WISCONSIN AVE,OAK PARK,Oak Park,295,"1,164",40,27001,"$1,862","$38,363","$40,225","$1,862","$38,362","$40,224","$402,250","$402,240",Individually owned row houses or townhouses up to 62 years,Two Story,Single Family,Frame,2,1,Partial and Rec Room,None,Yes,1,2 car attached,23,"2,163",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-051-0000,413 D  WISCONSIN AVE,OAK PARK,Oak Park,201,"2,204",40,27001,"$1,322",$649,"$1,971","$1,322",$649,"$1,971","$19,710","$19,710",Residential garage,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-052-0000,413 E  WISCONSIN AVE,OAK PARK,Oak Park,100,"1,437",40,27001,,,,$1,,$1,$0,$10,Vacant land,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-053-0000,407 A  WISCONSIN AVE,OAK PARK,Oak Park,210,"1,432",40,27001,"$2,291","$29,326","$31,617","$2,291","$29,326","$31,617","$316,170","$316,170","Old style row house, over 62 years",Two Story,Single Family,Frame,1,1,Partial and Rec Room,None,Yes,1,2 car attached,127,"1,654",Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",N/A,2017,"Yes | $1,219.10",Yes | $975.28,N/A
0,16-07-322-054-0000,407 B  WISCONSIN AVE,OAK PARK,Oak Park,295,962,40,27001,"$1,539","$33,653","$35,192","$1,539","$33,653","$35,192","$351,920","$351,920",Individually owned row houses or townhouses up to 62 years,Two Story,Single Family,Frame,1,1,Partial and Unfinished,None,Yes,1,2 car attached,22,"1,879",Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-055-0000,407 C  WISCONSIN AVE,OAK PARK,Oak Park,295,993,40,27001,"$1,589","$27,233","$28,822","$1,588","$27,233","$28,821","$288,220","$288,210",Individually owned row houses or townhouses up to 62 years,Two Story,Single Family,Frame,2,1,Partial and Unfinished,None,Yes,1,2 car attached,22,"1,472",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-056-0000,407 D  WISCONSIN AVE,OAK PARK,Oak Park,295,927,40,27001,"$1,483","$26,680","$28,163","$1,483","$26,679","$28,162","$281,630","$281,620",Individually owned row houses or townhouses up to 62 years,Two Story,Single Family,Frame,2,1,Partial and Unfinished,None,Yes,1,2 car attached,22,"1,417",Assessor Valuation,2019,N/A,N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,,,,
0,16-07-322-057-0000,407 E  WISCONSIN AVE,OAK PARK,Oak Park,295,"1,200",40,27001,"$1,920","$26,964","$28,884","$1,920","$26,964","$28,884","$288,840","$288,840",Individually owned row houses or townhouses up to 62 years,Two Story,Single Family,Frame,1,1,Partial and Unfinished,None,Yes,1,2 car attached,19,"1,353",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-058-0000,407 F  WISCONSIN AVE,OAK PARK,Oak Park,295,613,40,27001,$981,"$27,379","$28,360",$980,"$27,379","$28,359","$283,600","$283,590",Individually owned row houses or townhouses up to 62 years,Three Story,Single Family,Frame,1,1,Partial and Unfinished,None,Yes,1,2 car attached,19,"1,617",Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-059-0000,407 G  WISCONSIN AVE,OAK PARK,Oak Park,295,635,40,27001,"$1,016","$28,916","$29,932","$1,016","$28,916","$29,932","$299,320","$299,320",Individually owned row houses or townhouses up to 62 years,Three Story,Single Family,Frame,2,1,Partial and Unfinished,None,Yes,1,2 car attached,19,"1,838",Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-060-0000,407  WISCONSIN AVE,OAK PARK,Oak Park,100,"5,985",40,27001,$299,,$299,$299,,$299,"$2,990","$2,990",Vacant land,**,**,Assessor Valuation,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16-07-322-061-1001,417 1E  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$547,"$8,438","$8,985",$546,"$8,438","$8,984","$89,850","$89,840",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,N/A,N/A,N/A
0,16-07-322-061-1002,417 1W  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$547,"$8,438","$8,985",$546,"$8,438","$8,984","$89,850","$89,840",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1003,417 2E  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$547,"$8,438","$8,985",$546,"$8,438","$8,984","$89,850","$89,840",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,Yes,N/A,2019,"Yes | $1,315.70","Yes | $1,052.56",N/A,2018,"Yes | $1,268.60","Yes | $1,014.88",N/A,2017,"Yes | $1,219.10",Yes | $975.28,N/A
0,16-07-322-061-1004,417 2W  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$547,"$8,438","$8,985",$546,"$8,438","$8,984","$89,850","$89,840",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,N/A,N/A,N/A,2017,Yes,N/A,N/A,,,,
0,16-07-322-061-1005,417 3E  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$547,"$8,438","$8,985",$546,"$8,438","$8,984","$89,850","$89,840",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1006,417 3W  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$547,"$8,438","$8,985",$546,"$8,438","$8,984","$89,850","$89,840",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1007,417 GN  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$534,"$8,236","$8,770",$533,"$8,235","$8,768","$87,700","$87,680",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1008,419 1E  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$547,"$8,438","$8,985",$546,"$8,438","$8,984","$89,850","$89,840",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1009,419 1W  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$712,"$10,982","$11,694",$711,"$10,981","$11,692","$116,940","$116,920",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,2016,"Yes | $1,005.06",N/A,N/A
0,16-07-322-061-1010,419 2E  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$547,"$8,438","$8,985",$546,"$8,438","$8,984","$89,850","$89,840",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1011,419 2W  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$712,"$10,982","$11,694",$711,"$10,981","$11,692","$116,940","$116,920",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1012,419 3E  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$547,"$8,438","$8,985",$546,"$8,438","$8,984","$89,850","$89,840",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1013,419 3W  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$712,"$10,982","$11,694",$711,"$10,981","$11,692","$116,940","$116,920",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1014,421 1  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$539,"$8,311","$8,850",$538,"$8,311","$8,849","$88,500","$88,490",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1015,421 2  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$539,"$8,311","$8,850",$538,"$8,311","$8,849","$88,500","$88,490",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1016,421 3  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$539,"$8,311","$8,850",$538,"$8,311","$8,849","$88,500","$88,490",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1017,423 1E  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$547,"$8,438","$8,985",$546,"$8,438","$8,984","$89,850","$89,840",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1018,423 1W  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$364,"$5,617","$5,981",$364,"$5,617","$5,981","$59,810","$59,810",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1019,423 2E  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$547,"$8,438","$8,985",$546,"$8,438","$8,984","$89,850","$89,840",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1020,423 2W  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$364,"$5,617","$5,981",$364,"$5,617","$5,981","$59,810","$59,810",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A
0,16-07-322-061-1021,423 3E  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$547,"$8,438","$8,985",$546,"$8,438","$8,984","$89,850","$89,840",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1022,423 3W  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$364,"$5,617","$5,981",$364,"$5,617","$5,981","$59,810","$59,810",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1023,425 1E  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$506,"$7,802","$8,308",$505,"$7,802","$8,307","$83,080","$83,070",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1024,425 1W  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$539,"$8,311","$8,850",$538,"$8,311","$8,849","$88,500","$88,490",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1025,425 2E  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$506,"$7,802","$8,308",$505,"$7,802","$8,307","$83,080","$83,070",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,N/A,N/A,N/A,2017,Yes,N/A,N/A,,,,
0,16-07-322-061-1026,425 2W  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$539,"$8,311","$8,850",$538,"$8,311","$8,849","$88,500","$88,490",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1027,425 3E  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$506,"$7,802","$8,308",$505,"$7,802","$8,307","$83,080","$83,070",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A
0,16-07-322-061-1028,425 3W  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$539,"$8,311","$8,850",$538,"$8,311","$8,849","$88,500","$88,490",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,Yes,N/A,N/A,2018,"Yes | $1,268.60",N/A,N/A,2017,"Yes | $1,219.10",N/A,N/A,,,,
0,16-07-322-061-1029,425 GS  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$511,"$7,881","$8,392",$510,"$7,880","$8,390","$83,920","$83,900",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2020,Yes,N/A,N/A,2019,"Yes | $1,315.70",N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A
0,16-07-322-061-1030,419 P1  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$66,"$1,017","$1,083",$65,"$1,016","$1,081","$10,830","$10,810",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1031,419 P2  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$66,"$1,017","$1,083",$65,"$1,016","$1,081","$10,830","$10,810",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1032,417 P3A  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$41,$636,$677,$41,$635,$676,"$6,770","$6,760",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1033,417 P3B  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$41,$636,$677,$41,$635,$676,"$6,770","$6,760",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1034,417 P4A  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$41,$636,$677,$41,$635,$676,"$6,770","$6,760",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1035,417 P4B  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$41,$636,$677,$41,$635,$676,"$6,770","$6,760",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1036,417 P5A  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$41,$636,$677,$41,$635,$676,"$6,770","$6,760",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1037,417 P5B  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$41,$636,$677,$41,$635,$676,"$6,770","$6,760",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1038,417 P6A  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$41,$636,$677,$41,$635,$676,"$6,770","$6,760",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1039,417 P6B  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$41,$636,$677,$41,$635,$676,"$6,770","$6,760",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1040,419 P7  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$49,$763,$812,$49,$762,$811,"$8,120","$8,110",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1041,417 P8A  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$41,$636,$677,$41,$635,$676,"$6,770","$6,760",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1042,417 P8B  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$41,$636,$677,$41,$635,$676,"$6,770","$6,760",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1043,417 P9  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$49,$763,$812,$49,$762,$811,"$8,120","$8,110",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
0,16-07-322-061-1044,417 P10A  WISCONSIN AVE,OAK PARK,Oak Park,299,"17,340",40,27001,$41,$636,$677,$41,$635,$676,"$6,770","$6,760",Residential condominium,N/A,N/A,N/A,0,0,None,None,No,0,None,94,**,Assessor Valuation,2019,N/A,N/A,N/A,2018,N/A,N/A,N/A,2017,N/A,N/A,N/A,,,,
